smiles,value,scaled_value
*C*,47.8,0.4711473940333353
*CC(*)C,44.47,0.33067602381523
*CC(*)CC,34.04,-0.1092988684895266
*CC(*)CCC,20.01,-0.7011347015706132
*CC(*)CC(C)C,21.64,-0.6323754422746638
*CCCCCCCC(*)C,31.47,-0.2177107067659623
*CC(*)CCCCCC,75.06,1.6210721844674356
*C=CCCC*,14.57,-0.9306134565215122
*C=CCC*,13.1,-0.992623340671847
*C=CCCCCCC*,22.67,-0.5889263397747693
*CC(*)c1ccccc1,27.37,-0.39066344487233823
*CC(*)c1ccc(C)cc1,18.59,-0.7610354059879435
*CC(*)(C)c1ccc(C)cc1,34.09,-0.10718968875652182
*CC(*)c1ccc(O)cc1,11.0,-1.0812088894580396
*CC(*)O,39.089205,0.10369474858618181
*CC(*)OC(=O)CCCCCCCCCCC,12.02,-1.038181622904746
*CC(*)OC(=O)CCCCCCCCCCCCCCC,33.35,-0.1384055488049898
*CC(*)OC(=O)CCCCCCCCCCCCCCCCC,37.02,0.016408243597546883
*CC(*)(C)C#N,8.0,-1.2077596734383147
*CC(*)C(=O)OC(C)C,53.86,0.7267799776734911
*CC(*)C(=O)OCCCCCCCCCCCC,17.77,-0.7956259536092187
*CC(*)C(=O)OCCCCCCCCCCCCCC,27.01,-0.4058495389499712
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCC,39.64,0.12692926160698706
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCCCCCC,43.74,0.29988199971336316
*CC(*)(C)C(=O)OC,12.63789474,-1.0121166016499834
*CC(*)(C)C(=O)OCCCCCCCCCCCC,3.98,-1.3773377239718836
*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCC,17.37,-0.8124993914732553
*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCCCC,21.64,-0.6323754422746638
*CC(*)C(=O)NCCCCCCCCCCCC,1.76,-1.4709853041172871
*CC(*)C(=O)NCCCCCCCCCCCCCC,9.79,-1.1322510389967506
*CC(*)C(=O)NCCCCCCCCCCCCCCCC,16.73,-0.8394968920557141
*CC(*)C(=O)NCCCCCCCCCCCCCCCCCC,21.61,-0.6336409501144665
*CC(*)C(=O)NCCCCCCCCCCCCCCCCCCCCCC,35.71,-0.038852265407173354
*CC(*)(F)F,41.3664625,0.1997576559028355
*CC(*)(Cl)Cl,67.76,1.3131319434487663
*C(F)C(*)(F)F,72.97,1.5329084716278438
*C(F)(F)C(*)(F)Cl,77.15,1.7092358973070274
*CCC=C(*)Cl,90.11,2.255935284101816
*CCC(F)(F)C(*)(F)F,43.69,0.29777281998035837
*CCC=C(*)C,52.26,0.6592862262173443
*C=CC(C)C*,62.19,1.078169321192055
*CC(C)C=C(*)C,45.53,0.3753906341549273
*CO*,97.74314666,2.5779288487882885
*CCO*,70.6655082,1.435696723639139
*CC(C)O*,77.61,1.7286403508506694
*CC(CCl)O*,51.33,0.620055483183459
*CC(O*)C(C)(C)C,20.98,-0.6602166147503243
*CCCO*,55.46,0.794273729129638
*CC(C)(C)CO*,47.31,0.45047743264989054
*CC(CO)(CO)CO*,90.22,2.2605754795144257
*CC(CO*)(COCC)COCC,26.85,-0.4125989140955859
*CCCCO*,17.54872941,-0.8049599424879781
*CCCCCCO*,93.3,2.390500951067508
*CCCCCCCCO*,92.75,2.367299974004458
*Oc1c(C)cc(*)cc1C,62.833401,1.1053102881799528
*Oc1c(OC)cc(*)cc1OC,19.88,-0.7066185688764253
*Oc1c(-c2ccccc2)cc(*)cc1-c1ccccc1,73.4,1.5510474173316835
*CCOCO*,62.84,1.105588657721115
*CCCCOCO*,65.43,1.2148441678907527
*CCOC(=O)c1ccc(O*)cc1,67.44,1.2996331931575364
*CCOc1ccc(C(=O)OCCOC(=O)c2ccc(O*)cc2)cc1,96.09,2.5081931801691644
*CC(=O)NCCCCCCNC(=O)CO*,31.96,-0.19704074538251728
*CCOCCOC(=O)NCCCCCCNC(=O)O*,56.78,0.8499560740809591
*CCOCCOCCOC(=O)NCCCCCCNC(=O)O*,35.73,-0.03800859351397169
*CC(=O)OC(=O)c1ccc(C(=O)OC(=O)COc2ccc(O*)cc2)cc1,47.87,0.47410024565954173
*CCOCCOCCOCCOC(=O)NCCCCCCNC(=O)O*,25.61,-0.4649065714740997
*CCOCCOCCOCCOCCOCCOC(=O)NCCCCCCNC(=O)O*,22.98,-0.5758494254301408
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1,31.10578095,-0.23307477553864595
*CC(CC)(CC)CO*,41.8,0.21804582607278503
*CCOCC(=O)O*,55.93,0.814100018619881
*CCOCCOC(=O)c1ccc(C(=O)O*)cc1,38.53,0.08010547153428528
*Oc1ccc(Oc2ccc(OC(=O)c3cccc(C(*)=O)c3)cc2)cc1,29.77,-0.2894228176881182
*CC(C)(CC)CO*,54.15,0.7390132201249178
*CC(C)(CO)CO*,41.42,0.20201606010195036
*CC(CO*)(COC=O)COC=O,53.4,0.7073755241298489
*Oc1ccc(Oc2ccc(C(=O)c3cccc(C(=O)c4ccc(*)cc4)c3)cc2)cc1,72.53,1.5143476899774035
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1C,30.95,-0.23964617598920998
*CCCCCCCCCCOc1ccc(OC(=O)c2ccc(OCCOCCOCCOc3ccc(C(=O)Oc4ccc(O*)cc4)cc3)cc2)cc1,16.51,-0.8487772828809342
*Oc1ccc(Oc2ccc(NC(=O)c3ccc(Oc4ccc(Oc5ccc(C(=O)Nc6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,60.74,1.0170031089349223
*Oc1cccc(Oc2ccc(NC(=O)c3ccc(Oc4cccc(Oc5ccc(C(=O)Nc6ccc(*)cc6)cc5)c4)cc3)cc2)c1,40.05,0.1442245354176245
*c1cccc(Oc2ccc(-c3ccc(Oc4cccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)c4)cc3)cc2)c1,90.18,2.2588881357280224
*CCCCCCOC(=O)Nc1ccc(C)c(NC(=O)OCCCCCCOc2ccc(-c3ccc(O*)cc3)cc2)c1,37.92,0.05437347879162936
*CCCS*,98.81,2.6229325576446136
*CCCCCCS*,87.41,2.142039578519568
*CCOC(=O)CCC(=O)O*,79.99,1.8290373061416874
*CCCOC(=O)CCC(=O)O*,50.44,0.5825120839359774
*CCCCOC(=O)CCC(=O)O*,56.84,0.8524870897605646
*CCCOC(=O)CCCC(=O)O*,24.04,-0.5311348150904437
*CCOC(=O)CCCCC(=O)O*,69.34,1.379782023011711
*CCCOC(=O)CCCCC(=O)O*,26.74,-0.4172391095081961
*CCCCCCCCCCOC(=O)CCCCC(=O)O*,88.04,2.168615243155426
*CCOC(=O)CCCCCCC(=O)O*,57.21,0.8680950197847984
*CCCOC(=O)CCCCCCC(=O)O*,92.48,2.3559104034462335
*CCOC(=O)CCCCCCCC(=O)O*,57.8,0.8929833406342524
*CCCCCCCCCOC(=O)CCCCCCCC(=O)O*,73.07,1.5371268310938526
*CCCCCCCCCCOC(=O)CCCCCCCC(=O)O*,66.73,1.2696828409488716
*CCOC(=O)CCCCCCCCC(=O)O*,60.1,0.9900056083524635
*CCCOC(=O)CCCCCCCCC(=O)O*,37.93,0.0547953147382302
*CCCCOC(=O)CCCCCCCCC(=O)O*,44.62,0.33700356301424367
*CCCCCCOC(=O)CCCCCCCCC(=O)O*,74.61,1.6020895668703943
*CCCCCCCOC(=O)CCCCCCCCC(=O)O*,45.6,0.3783434857811337
*CCCCCCCCCCOC(=O)CCCCCCCCC(=O)O*,75.09,1.6223376923072383
*CCOC(=O)c1ccc(C(=O)O*)cc1,31.7557344,-0.20565740265591767
*CCOC(=O)c1cccc(C(=O)O*)c1,40.99,0.18387711439811094
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,34.54432121,-0.08802478698839958
*CCCCOC(=O)c1cccc(C(=O)O*)c1,18.14,-0.7800180235849847
*CCCCCOC(=O)c1ccc(C(=O)O*)cc1,21.11,-0.6547327474445124
*CCCCCCOC(=O)c1ccc(C(=O)O*)cc1,84.06,2.000724536408261
*CCCCCCCCCCOC(=O)c1ccc(C(=O)O*)cc1,79.26,1.7982432820398209
*Oc1c(Cl)cc(C(C)(C)c2cc(Cl)c(OC(=O)CCCCC(*)=O)c(Cl)c2)cc1Cl,48.47,0.4994104024555968
*CCOC(=O)c1ccc2cc(C(=O)O*)ccc2c1,40.762904,0.1742973887851826
*CCCCOC(=O)CCCCC(=O)O*,63.01,1.1127598688133302
*CCCCCOC(=O)CCCCC(=O)O*,34.68,-0.08230136790706787
*OC1CCC(OC(=O)CCCCC(*)=O)CC1,76.23,1.670426990219743
*CCCCC(=O)O*,44.85,0.3467057897860649
*CCCCCC(=O)O*,44.91891622,0.34961292367605057
*CCCCCCCCCCC(=O)O*,48.08,0.48295880053816104
*CCCCCCCCCCCCC(=O)O*,74.44953187,1.5953204443186113
*CCCCCCCCCCCCCCC(=O)O*,60.3,0.9984423272844817
*CCCCCCC(=O)O*,40.25,0.15266125434964298
*CCCCCCCC(=O)O*,44.53,0.33320703949483554
*CCCCCCCCC(=O)O*,41.41,0.20159422415534922
*CCCCCCCCCC(=O)O*,50.94,0.6036038812660233
*CCCCCCCCCCCC(=O)O*,59.84,0.9790378737408397
*CCCCCCCCCCCCCCOC(=O)CCCCC(=O)O*,88.39,2.183379501286458
*CCCCCCCCCCCCCCOC(=O)CCCCCCC(=O)O*,87.94,2.1643968836894167
*CCCCCCCCCCCCCCCCOC(=O)CCCCC(=O)O*,83.83,1.9910223096364397
*CCCCCCCCCCCCCCCCOC(=O)CCCCCCC(=O)O*,50.15,0.5702788414845509
*CCCOC(=O)c1ccc(C(=O)O*)cc1,30.78,-0.24681738708142548
*CC(C)C(C)COC(=O)c1ccc(C(=O)O*)cc1,14.88,-0.9175365421768836
*CCCCCCCOC(=O)c1ccc(C(=O)O*)cc1,17.69,-0.799000641182026
*OC(C)CC(*)=O,71.37270952,1.4655290174651006
*OC(C)C(*)=O,57.62,0.8853902935954359
*CCC(=O)O*,45.00978462,0.35344607942906153
*OC(CC)CC(*)=O,64.05,1.1566308072598257
*CC(C)C(=O)O*,81.29,1.8838759791998072
*OC(CC(*)=O)C(Cl)(Cl)Cl,9.71,-1.135625726569558
*Oc1ccc(OC(=O)CCCCC(*)=O)cc1,62.08,1.073529125779445
*CCCCCCCCCCOC(=O)CCCCCNC(=O)CCCCC(=O)NCCCCCC(=O)O*,19.33,-0.7298195459394757
*CCCCCCCCCCOC(=O)CCCCCNC(=O)c1ccc(C(=O)NCCCCCC(=O)O*)cc1,24.04,-0.5311348150904437
*CCCCCCCCCCCCOC(=O)CCCCCNC(=O)CCCCC(=O)NCCCCCC(=O)O*,17.28,-0.8162959149926636
*CCCCCCCCCCCCOC(=O)c1ccc(NC(=O)CCCCCCCCCCC(=O)Nc2ccc(C(=O)O*)cc2)cc1,16.42,-0.8525738064003424
*CCCCCCCCCCCCOC(=O)CCCCCNC(=O)c1ccc(C(=O)NCCCCCC(=O)O*)cc1,21.84,-0.6239387233426454
*CCOC(=O)CCCCCNC(=O)CCCCC(=O)NCCCCCC(=O)O*,22.75,-0.585551652201962
*CCOC(=O)c1ccc(NC(=O)CCCCCCCCCCC(=O)Nc2ccc(C(=O)O*)cc2)cc1,22.49,-0.5965193868135859
*CCCCCCOC(=O)CCCCCNC(=O)CCCCC(=O)NCCCCCC(=O)O*,20.69,-0.6724498572017509
*CCCCCCOC(=O)c1ccc(NC(=O)CCCCCCCCCCC(=O)Nc2ccc(C(=O)O*)cc2)cc1,20.19,-0.6935416545317967
*CCCCCCOC(=O)CCCCCNC(=O)c1ccc(C(=O)NCCCCCC(=O)O*)cc1,29.18,-0.3143111385375723
*OC(CC(*)=O)C(C)(Cl)Cl,37.3,0.02821965010237231
*CCCCCCCCOC(=O)CCCCCNC(=O)CCCCC(=O)NCCCCCC(=O)O*,18.79,-0.7525986870559253
*CCCCCCCCOC(=O)c1ccc(NC(=O)CCCCCCCCCCC(=O)Nc2ccc(C(=O)O*)cc2)cc1,18.52,-0.7639882576141499
*CCCCCCCCOC(=O)CCCCCNC(=O)c1ccc(C(=O)NCCCCCC(=O)O*)cc1,27.1,-0.402053015430563
*CCCCCOC(=O)CCCCCCCCC(=O)O*,37.28,0.027375978209170645
*CCCCOC(=O)CCCCCNC(=O)CCCCC(=O)NCCCCCC(=O)O*,21.6,-0.6340627860610674
*CCCCOC(=O)c1ccc(NC(=O)CCCCCCCCCCC(=O)Nc2ccc(C(=O)O*)cc2)cc1,21.52,-0.6374374736338748
*CCCCOC(=O)CCCC(=O)O*,31.41,-0.22024172244556775
*CCCCOC(=O)CCCCCNC(=O)c1ccc(C(=O)NCCCCCC(=O)O*)cc1,31.12,-0.23247496489699432
*CCCOC(=O)c1ccc2cc(C(=O)O*)ccc2c1,18.1,-0.7817053673713884
*CCOC(=O)CCCCCNC(=O)c1ccc(C(=O)NCCCCCC(=O)O*)cc1,17.83,-0.7930949379296133
*C(=O)OCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,26.33,-0.4345343833188337
*C(=O)OCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,19.53,-0.7213828270074573
*C(=O)OCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,18.18,-0.7783306797985812
*C(=O)OCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,20.25,-0.6910106388521913
*C(=O)OCCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,16.63,-0.8437152515217233
*C(=O)OCCCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,15.48,-0.8922263853808288
*C(=O)OCCCCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,14.52,-0.9327226362545168
*C(=O)OCCCCCCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,8.62,-1.181605844749058
*CCCCNC(=O)CCCCC(=O)N*,64.85,1.190377682987899
*CCCCCC(=O)N*,35.23,-0.059100390844017546
*CCCCCCNC(=O)CCCCC(=O)N*,40.61,0.16784734842727597
*CCCCCCNC(=O)CCCCCCC(=O)N*,62.18,1.0777474852454543
*CCCCCCNC(=O)CCCCCCCC(=O)N*,22.04,-0.6155020044106272
*CCCCCCNC(=O)CCCCCCCCC(=O)N*,39.56,0.1235545740341798
*CCCCCCNC(=O)CCCCCCCCCCC(=O)N*,43.53,0.29102344483474385
*CCCCCCC(=O)N*,25.57,-0.46659391526050337
*CCCCCCCC(=O)N*,48.41,0.4968793867759912
*CCCCCCCCCCC(=O)N*,24.27,-0.5214325883186226
*CCCCCCCCCCCC(=O)N*,46.0,0.3952169236451703
*CCCCCCCCCCNC(=O)CCCCCCCCC(=O)N*,40.0,0.14211535568462005
*NC1CCC(CC2CCC(NC(=O)CCCCCCCCCCC(*)=O)CC2)CC1,25.59,-0.46575024336730153
*CCCCCCNC(=O)c1cccc(C(=O)N*)c1,53.05,0.6926112659988167
*Cc1cccc(CNC(=O)CCCCC(=O)N*)c1,25.87,-0.4539388368624758
*CCCCNC(=O)CCC=CCCC(=O)N*,31.26,-0.22656926164458144
*C(=O)CCCCCCCCC(=O)N1CCN(*)CC1,52.64,0.6753159921881793
*CCCCCCNC(=O)CCC=CCCC(=O)N*,24.7,-0.5032936426147832
*CCCCCCCCCCNC(=O)CCC=CCCC(=O)N*,32.24,-0.18522933887769155
*CCCCCCCCCCN1CCN(C(=O)CCCCCCCCC(=O)N2CCN(*)CC2)CC1,53.56,0.7141248992754637
*CCCCCCCCCCNC(=O)CCCCCCCC(=O)N*,50.69,0.5930579826010004
*CC(C)(C)C(=O)N*,33.22,-0.1438894161108018
*CCCC(=O)N*,38.13,0.06323203367024866
*CCCCCNC(=O)CCCCCC(=O)N*,38.39,0.07419976828187241
*CCCNC(=O)CCC=CCCC(=O)N*,35.72,-0.03843042946057253
*CCCCCNC(=O)CCC=CCCC(=O)N*,26.16,-0.44170559441104923
*CCCCCCCNC(=O)CCC=CCCC(=O)N*,28.31,-0.3510108658918521
*CCCCCCCCNC(=O)CCC=CCCC(=O)N*,22.55,-0.5939883711339803
*CCCCCCCCCNC(=O)CCC=CCCC(=O)N*,27.48,-0.38602324945972816
*CCCCNC(=O)c1ccc(C(=O)N*)cc1,94.18,2.427622514368389
*CCCCCCNC(=O)CCc1ccc(CCC(=O)N*)cc1,44.13,0.31633360163079893
*Nc1cccc(NC(=O)CCCCC(*)=O)c1,46.36,0.4104030177228033
*CCCCCCNC(=O)C(=O)N*,62.02,1.0709981100998396
*C(=O)CCC=CCCC(=O)N1CCN(*)CC1,33.97,-0.11225172011573302
*CC1CCCC(CNC(=O)CCCCC(=O)N*)C1,5.67,-1.3060474489963283
*NC1CCC(CC2CCC(NC(=O)CCCCCCCCCCCCC(*)=O)CC2)CC1,12.75,-1.007387598802879
*CCCCCCCCCCCCNC(=O)CCP(C)(=O)CCC(=O)N*,9.73,-1.134782054676356
*CCCCCCCCCCNC(=O)C(CCCCCCCCCCCC)C(=O)N*,13.71,-0.9668913479291911
*CCCCCCNC(=O)C(CCCC)C(=O)N*,21.85,-0.6235168873960445
*CCCCCCNC(=O)C(CCCCCCCCCC)C(=O)N*,23.23,-0.565303526765118
